Oct 06, 2018 11:37:33 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Oct 06, 2018 11:37:33 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Oct 06, 2018 11:37:33 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /home/bill/solrup/apache-karaf-4.2.1/lock
Oct 06, 2018 11:37:33 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Oct 06, 2018 11:37:33 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2018-10-06T23:37:33,732 | INFO  | FelixStartLevel  | fileinstall                      | 10 - org.apache.felix.fileinstall - 3.6.4 | Creating configuration from org.ops4j.pax.url.war.cfg
2018-10-06T23:37:33,746 | INFO  | FelixStartLevel  | fileinstall                      | 10 - org.apache.felix.fileinstall - 3.6.4 | Creating configuration from jmx.acl.org.apache.karaf.bundle.cfg
2018-10-06T23:37:34,607 | INFO  | activator-1-thread-2 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 | Adding features: kar/[4.2.1,4.2.1],instance/[4.2.1,4.2.1],shell/[4.2.1,4.2.1],jaas/[4.2.1,4.2.1],package/[4.2.1,4.2.1],service/[4.2.1,4.2.1],system/[4.2.1,4.2.1],deployer/[4.2.1,4.2.1],bundle/[4.2.1,4.2.1],diagnostic/[4.2.1,4.2.1],feature/[4.2.1,4.2.1],wrap/[2.5.4,2.5.4],management/[4.2.1,4.2.1],cave/[4.1.1,4.1.1],framework/[4.2.1,4.2.1],eventadmin/[4.2.1,4.2.1],war/[4.2.1,4.2.1],ssh/[4.2.1,4.2.1],log/[4.2.1,4.2.1],config/[4.2.1,4.2.1]
2018-10-06T23:37:34,861 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 | Changes to perform:
2018-10-06T23:37:34,862 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   Region: root
2018-10-06T23:37:34,863 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |     Bundles to install:
2018-10-06T23:37:34,863 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |       mvn:javax.annotation/javax.annotation-api/1.2
2018-10-06T23:37:34,863 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |       mvn:javax.mail/mail/1.4.4
2018-10-06T23:37:34,863 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |       mvn:javax.servlet/javax.servlet-api/3.1.0
2018-10-06T23:37:34,863 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |       mvn:org.apache.aries.spifly/org.apache.aries.spifly.dynamic.bundle/1.0.10
2018-10-06T23:37:34,864 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |       mvn:org.apache.aries/org.apache.aries.util/1.1.0
