date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:09:29	67/67	---MC-	200	added ('OK')	text/plain	date:Sat,%2029%20Sep%202018%2013:09:33%20GMT	http://klbtheme.com/robots.txt		(from )
06:09:37	56989/56989	---MC-	200	added ('OK')	text/html	date:Sat,%2029%20Sep%202018%2013:09:34%20GMT	http://klbtheme.com/groci/	C:/My%20Web%20Sites/grocery%20template/klbtheme.com/groci/index.html	(from )
06:09:38	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2029%20Sep%202018%2013:09:43%20GMT	http://klbtheme.com/groci/xmlrpc.php	C:/My%20Web%20Sites/grocery%20template/klbtheme.com/groci/xmlrpc.0.delayed	(from http://klbtheme.com/groci/)
06:09:38	3477/3477	---M--	200	added ('OK')	text/css	date:Wed,%2022%20Aug%202018%2008:46:04%20GMT	http://klbtheme.com/groci/wp-content/plugins/login-with-ajax/widget/widget.css?ver=3.1.7	C:/My%20Web%20Sites/grocery%20template/klbtheme.com/groci/wp-content/plugins/login-with-ajax/widget/widget9dfc.css	(from http://klbtheme.com/groci/)
06:09:38	1743/1743	---M--	200	added ('OK')	text/css	date:Wed,%2022%20Aug%202018%2008:46:03%20GMT	http://klbtheme.com/groci/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.3	C:/My%20Web%20Sites/grocery%20template/klbtheme.com/groci/wp-content/plugins/contact-form-7/includes/css/stylesaead.css	(from http://klbtheme.com/groci/)
06:09:41	140930/140930	---M--	200	added ('OK')	text/css	date:Wed,%2022%20Aug%202018%2008:25:34%20GMT	http://klbtheme.com/groci/wp-content/themes/groci/vendor/bootstrap/css/bootstrap.min.css?ver=1.0	C:/My%20Web%20Sites/grocery%20template/klbtheme.com/groci/wp-content/themes/groci/vendor/bootstrap/css/bootstrap.min5152.css	(from http://klbtheme.com/groci/)
06:09:41	93420/93420	---M--	200	added ('OK')	text/css	date:Wed,%2022%20Aug%202018%2008:27:35%20GMT	http://klbtheme.com/groci/wp-content/themes/groci/vendor/icons/css/materialdesignicons.min.css?ver=1.0	C:/My%20Web%20Sites/grocery%20template/klbtheme.com/groci/wp-content/themes/groci/vendor/icons/css/materialdesignicons.min5152.css	(from http://klbtheme.com/groci/)
06:09:43	16890/16890	---M--	200	added ('OK')	text/css	date:Wed,%2022%20Aug%202018%2008:28:14%20GMT	http://klbtheme.com/groci/wp-content/themes/groci/vendor/select2/css/select2-bootstrap.css?ver=1.0	C:/My%20Web%20Sites/grocery%20template/klbtheme.com/groci/wp-content/themes/groci/vendor/select2/css/select2-bootstrap5152.css	(from http://klbtheme.com/groci/)
06:09:43	14938/14938	---M--	200	added ('OK')	text/css	date:Wed,%2022%20Aug%202018%2008:46:08%20GMT	http://klbtheme.com/groci/wp-content/plugins/woocommerce/assets/css/select2.css?ver=3.4.4	C:/My%20Web%20Sites/grocery%20template/klbtheme.com/groci/wp-content/plugins/woocommerce/assets/css/select2edb1.css	(from http://klbtheme.com/groci/)
06:09:43	36244/36244	---M--	200	added ('OK')	text/css	date:Sat,%2029%20Sep%202018%2006:04:02%20GMT	http://klbtheme.com/groci/wp-content/themes/groci/css/stylem.css?ver=1.0	C:/My%20Web%20Sites/grocery%20template/klbtheme.com/groci/wp-content/themes/groci/css/stylem5152.css	(from http://klbtheme.com/groci/)
06:09:45	1477/1477	---M--	200	added ('OK')	text/css	date:Wed,%2022%20Aug%202018%2008:28:03%20GMT	http://klbtheme.com/groci/wp-content/themes/groci/vendor/owl-carousel/owl.carousel.css?ver=1.0	C:/My%20Web%20Sites/grocery%20template/klbtheme.com/groci/wp-content/themes/groci/vendor/owl-carousel/owl.carousel5152.css	(from http://klbtheme.com/groci/)
06:09:45	2576/2576	---M--	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2007:59:26%20GMT	http://klbtheme.com/groci/wp-content/themes/groci/vendor/owl-carousel/owl.theme.css?ver=1.0	C:/My%20Web%20Sites/grocery%20template/klbtheme.com/groci/wp-content/themes/groci/vendor/owl-carousel/owl.theme5152.css	(from http://klbtheme.com/groci/)
06:09:46	31645/31645	---M--	200	added ('OK')	text/css	date:Tue,%2025%20Sep%202018%2018:19:19%20GMT	http://klbtheme.com/groci/wp-content/themes/groci/style.css?ver=4.9.8	C:/My%20Web%20Sites/grocery%20template/klbtheme.com/groci/wp-content/themes/groci/style5010.css	(from http://klbtheme.com/groci/)
06:09:51	481374/481374	---M--	200	added ('OK')	text/css	date:Wed,%2022%20Aug%202018%2008:46:06%20GMT	http://klbtheme.com/groci/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=5.5.2	C:/My%20Web%20Sites/grocery%20template/klbtheme.com/groci/wp-content/plugins/js_composer/assets/css/js_composer.min4245.css	(from http://klbtheme.com/groci/)
06:09:52	10056/10056	---M--	200	added ('OK')	application/javascript	date:Sat,%2018%20Aug%202018%2006:53:40%20GMT	http://klbtheme.com/groci/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/My%20Web%20Sites/grocery%20template/klbtheme.com/groci/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://klbtheme.com/groci/)
06:09:53	5099/5099	---M--	200	added ('OK')	application/javascript	date:Wed,%2022%20Aug%202018%2008:46:04%20GMT	http://klbtheme.com/groci/wp-content/plugins/login-with-ajax/widget/login-with-ajax.js?ver=3.1.7	C:/My%20Web%20Sites/grocery%20template/klbtheme.com/groci/wp-content/plugins/login-with-ajax/widget/login-with-ajax9dfc.js	(from http://klbtheme.com/groci/)
06:09:54	2650/2650	---M--	200	added ('OK')	application/javascript	date:Wed,%2022%20Aug%202018%2008:46:08%20GMT	http://klbtheme.com/groci/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=3.4.4	C:/My%20Web%20Sites/grocery%20template/klbtheme.com/groci/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.minedb1.js	(from http://klbtheme.com/groci/)
06:09:54	895/895	---M--	200	added ('OK')	application/javascript	date:Wed,%2022%20Aug%202018%2008:46:06%20GMT	http://klbtheme.com/groci/wp-content/plugins/js_composer/assets/js/vendors/woocommerce-add-to-cart.js?ver=5.5.2	C:/My%20Web%20Sites/grocery%20template/klbtheme.com/groci/wp-content/plugins/js_composer/assets/js/vendors/woocommerce-add-to-cart4245.js	(from http://klbtheme.com/groci/)
06:09:56	97184/97184	---M--	200	added ('OK')	application/javascript	date:Sat,%2018%20Aug%202018%2006:53:48%20GMT	http://klbtheme.com/groci/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/My%20Web%20Sites/grocery%20template/klbtheme.com/groci/wp-includes/js/jquery/jqueryb8ff.js	(from http://klbtheme.com/groci/)
06:09:56	842/842	---MC-	200	added ('OK')	text/xml	date:Sat,%2029%20Sep%202018%2013:10:00%20GMT	http://klbtheme.com/groci/xmlrpc.php?rsd	C:/My%20Web%20Sites/grocery%20template/klbtheme.com/groci/xmlrpc0db0.php	(from http://klbtheme.com/groci/)
06:09:57	1045/1045	---M--	200	added ('OK')	application/xml	date:Sat,%2018%20Aug%202018%2007:01:04%20GMT	http://klbtheme.com/groci/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/grocery%20template/klbtheme.com/groci/wp-includes/wlwmanifest.xml	(from http://klbtheme.com/groci/)
06:09:57	21336/21336	---MC-	200	added ('OK')	application/rss+xml	etag:%22af787debc6b17f674142b456a1ad3cb3%22	http://klbtheme.com/groci/feed/	C:/My%20Web%20Sites/grocery%20template/klbtheme.com/groci/feed/index.html	(from http://klbtheme.com/groci/)
06:09:58	8224/8224	---MC-	200	added ('OK')	application/rss+xml	etag:%229e8069a9bf6187f96fadfd6b39516011%22	http://klbtheme.com/groci/comments/feed/	C:/My%20Web%20Sites/grocery%20template/klbtheme.com/groci/comments/feed/index.html	(from http://klbtheme.com/groci/)
06:09:58	2240/2240	---MC-	200	added ('OK')	application/json	date:Sat,%2029%20Sep%202018%2013:10:03%20GMT	http://klbtheme.com/groci/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fklbtheme.com%2Fgroci%2F	C:/My%20Web%20Sites/grocery%20template/klbtheme.com/groci/wp-json/oembed/1.0/embeda5c0.json	(from http://klbtheme.com/groci/)
06:09:59	2334/2334	---MC-	200	added ('OK')	text/xml	date:Sat,%2029%20Sep%202018%2013:10:04%20GMT	http://klbtheme.com/groci/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fklbtheme.com%2Fgroci%2F&format=xml	C:/My%20Web%20Sites/grocery%20template/klbtheme.com/groci/wp-json/oembed/1.0/embeda1a2	(from http://klbtheme.com/groci/)
06:10:00	506/506	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Aug%202018%2008:48:23%20GMT	http://klbtheme.com/groci/wp-content/uploads/2018/08/cropped-favicon-32x32.png	C:/My%20Web%20Sites/grocery%20template/klbtheme.com/groci/wp-content/uploads/2018/08/cropped-favicon-32x32.png	(from http://klbtheme.com/groci/)
06:10:01	3744/3744	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Aug%202018%2008:48:23%20GMT	http://klbtheme.com/groci/wp-content/uploads/2018/08/cropped-favicon-192x192.png	C:/My%20Web%20Sites/grocery%20template/klbtheme.com/groci/wp-content/uploads/2018/08/cropped-favicon-192x192.png	(from http://klbtheme.com/groci/)
06:10:02	16809/16809	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Aug%202018%2008:48:23%20GMT	http://klbtheme.com/groci/wp-content/uploads/2018/08/cropped-favicon-180x180.png	C:/My%20Web%20Sites/grocery%20template/klbtheme.com/groci/wp-content/uploads/2018/08/cropped-favicon-180x180.png	(from http://klbtheme.com/groci/)
06:10:02	29346/29346	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Aug%202018%2011:05:12%20GMT	http://klbtheme.com/groci/wp-content/uploads/2018/08/login-1.jpg	C:/My%20Web%20Sites/grocery%20template/klbtheme.com/groci/wp-content/uploads/2018/08/login-1.jpg	(from http://klbtheme.com/groci/)
06:10:03	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2029%20Sep%202018%2013:10:08%20GMT	http://klbtheme.com/groci/shop	C:/My%20Web%20Sites/grocery%20template/klbtheme.com/groci/shop	(from http://klbtheme.com/groci/)
06:10:03	3631/3631	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Aug%202018%2006:50:08%20GMT	http://klbtheme.com/groci/wp-content/uploads/2018/08/logo-1.png	C:/My%20Web%20Sites/grocery%20template/klbtheme.com/groci/wp-content/uploads/2018/08/logo-1.png	(from http://klbtheme.com/groci/)
06:10:03	3202/3202	---MC-	200	added ('OK')	text/html	date:Sat,%2029%20Sep%202018%2013:10:07%20GMT	http://klbtheme.com/groci/wp-login.php?action=lostpassword	C:/My%20Web%20Sites/grocery%20template/klbtheme.com/groci/wp-loginc2b6.html	(from http://klbtheme.com/groci/)
06:10:30	228148/228148	---M--	200	added ('OK')	image/jpeg	date:Wed,%2022%20Aug%202018%2009:02:17%20GMT	http://klbtheme.com/groci/wp-content/uploads/2018/08/slider1.jpg	C:/My%20Web%20Sites/grocery%20template/klbtheme.com/groci/wp-content/uploads/2018/08/slider1.jpg	(from http://klbtheme.com/groci/)
06:10:37	332551/332551	---MC-	200	added ('OK')	application/json	date:Sat,%2029%20Sep%202018%2013:10:02%20GMT	http://klbtheme.com/groci/wp-json/	C:/My%20Web%20Sites/grocery%20template/klbtheme.com/groci/wp-json/index.html	(from http://klbtheme.com/groci/)
06:10:38	51225/51225	---MC-	200	added ('OK')	text/html	date:Sat,%2029%20Sep%202018%2013:10:09%20GMT	http://klbtheme.com/groci/shop/	C:/My%20Web%20Sites/grocery%20template/klbtheme.com/groci/shop/index.html	(from http://klbtheme.com/groci/)
06:10:38	3928/3928	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Aug%202018%2006:51:59%20GMT	http://klbtheme.com/groci/wp-content/uploads/2018/08/3-3.jpg	C:/My%20Web%20Sites/grocery%20template/klbtheme.com/groci/wp-content/uploads/2018/08/3-3.jpg	(from http://klbtheme.com/groci/)
06:10:40	36320/36320	---MC-	200	added ('OK')	text/html	date:Sat,%2029%20Sep%202018%2013:10:36%20GMT	http://klbtheme.com/groci/my-account/	C:/My%20Web%20Sites/grocery%20template/klbtheme.com/groci/my-account/index.html	(from http://klbtheme.com/groci/)
